|-9x + 115| = 2
|-3x + 107| = 50
|8x - 110| = 34
|4x + 23| = 23
|-19x - 61| = 42
|1x - 26| = 25
|-1x - 16| = 32
|-17x + 95| = 24
|20x + 45| = 25
|-17x - 106| = 47
|11x - 149| = 16
|4x + 48| = 32
|7x - 29| = 29
|-20x - 255| = 45
|-12x + 107| = 25
|13x - 163| = 46
|-1x - 24| = 5
|17x + 241| = 37
|-14x - 78| = 22
|-6x - 99| = 21
|-13x + 224| = 36
|6x + 109| = 13
|-7x + 28| = 35
|18x - 235| = 35
|-12x - 122| = 34
|19x + 243| = 42
|13x - 197| = 50
|16x + 183| = 9
|13x + 36| = 3
|-10x + 130| = 50
|-9x + 17| = 8
|17x - 117| = 49
|5x - 76| = 36
|8x + 75| = 13
|11x + 107| = 25
|-18x - 371| = 47
|19x + 180| = 48
|-14x + 90| = 20
|-18x + 185| = 31
|-1x - 27| = 45
|18x - 206| = 46
|-12x - 109| = 13
|4x + 2| = 10
|1x - 28| = 16
|-2x + 39| = 45
|6x + 68| = 50
|6x + 35| = 25
|-2x + 21| = 1
|-1x + 29| = 45
|-19x - 375| = 33
|-12x - 158| = 14
|-17x + 82| = 14
|18x - 367| = 7
|-5x - 84| = 16
|-19x - 238| = 48
|-20x + 379| = 21
|-8x + 142| = 6
|4x + 25| = 45
|-13x - 262| = 41
|-4x + 78| = 50
|-14x - 11| = 31
|-20x + 357| = 43
|-4x - 63| = 27
|-8x + 135| = 25
|20x - 161| = 19
|20x - 196| = 4
|20x - 413| = 13
|4x - 24| = 8
|16x - 154| = 6
|16x - 230| = 38
|-18x - 228| = 30
|-13x + 54| = 15
|-12x + 2| = 46
|1x + 12| = 13
|-20x + 212| = 12
|-11x + 55| = 44
|6x + 48| = 0
|1x - 43| = 23
|-14x - 16| = 2
|7x + 145| = 5
|-10x + 70| = 50
|20x + 51| = 9
|-3x + 55| = 43
|-19x + 160| = 30
|5x - 32| = 48
|2x + 44| = 34
|3x - 38| = 41
|11x + 63| = 41
|9x - 106| = 11
|-1x + 34| = 33
|-16x - 206| = 2
|12x - 45| = 15
|4x + 99| = 47
|-17x + 122| = 31
|-15x - 215| = 25
|5x + 95| = 0
|-11x - 116| = 17
|16x - 241| = 31
|-18x + 88| = 2
|16x + 43| = 21
|3x - 20| = 5
|-3x + 75| = 18
|-7x + 81| = 46
|-18x + 324| = 0
|13x + 18| = 47
|2x - 28| = 48
|3x + 26| = 16
|-17x + 253| = 49
|2x - 64| = 32
|7x + 56| = 49
|-10x - 109| = 19
|12x - 269| = 41
|7x - 88| = 45
|4x - 67| = 1
|4x + 26| = 18
|-20x + 131| = 49
|17x + 287| = 36
|3x + 24| = 27
|5x - 46| = 24
|-13x + 1| = 14
|18x - 114| = 48
|-10x + 75| = 25
|-8x + 156| = 4
|6x - 9| = 39
|2x - 3| = 11
|-16x + 127| = 1
|-1x - 56| = 38
|-4x + 102| = 30
|14x + 285| = 47
|14x - 162| = 20
|12x - 185| = 5
|15x + 13| = 43
|-14x + 22| = 36
|18x + 265| = 31
|5x + 25| = 0
|-10x + 233| = 43
|-9x + 13| = 40
|17x + 182| = 22
|-8x - 172| = 12
|-19x - 2| = 40
|7x + 130| = 46
|6x - 138| = 30
|-2x - 2| = 0
|18x - 151| = 43
|-7x + 38| = 45
|11x - 24| = 9
|-3x + 51| = 21
|5x - 77| = 32
|15x - 260| = 40
|-17x - 223| = 2
|12x + 62| = 26
|5x + 12| = 42
|-11x - 124| = 8
|15x + 275| = 50
|5x + 86| = 1
|7x + 65| = 19
|-3x + 20| = 31
|-2x + 22| = 22
|7x - 28| = 14
|-1x - 5| = 1
|12x + 189| = 27
|-13x - 140| = 36
|-2x - 2| = 20
|-12x - 214| = 46
|20x - 390| = 10
|9x + 25| = 16
|-10x + 4| = 44
|4x - 1| = 5
|-14x - 24| = 46
|-20x + 292| = 32
|18x + 118| = 28
|-1x - 18| = 2
|-8x - 88| = 48
|-10x - 144| = 4
|-3x + 19| = 38
|19x - 206| = 41
|-20x + 101| = 39
|12x + 30| = 30
|-9x + 22| = 5
|14x - 186| = 10
|20x + 384| = 44
|16x + 40| = 40
|7x - 138| = 2
|-1x - 20| = 15
|9x - 73| = 46
|5x - 27| = 2
|13x - 201| = 6
|18x - 209| = 43
|-8x - 48| = 0
|15x + 39| = 39
|-16x - 155| = 27
|4x - 52| = 20
|-2x + 1| = 7
|-12x - 26| = 34
|-13x + 31| = 8
|20x + 69| = 31
|20x - 361| = 21
|-16x + 211| = 35
|17x + 310| = 21
|18x + 323| = 19
|-17x + 229| = 9
|-18x - 106| = 16
|-4x - 35| = 41
|-8x - 32| = 0
|11x + 26| = 4
|-17x + 14| = 14
|5x - 7| = 3
|17x - 109| = 7
|8x + 97| = 9
|-6x - 120| = 0
|2x + 24| = 42
|6x - 66| = 24
|-8x - 87| = 23
|-13x + 220| = 38
|15x - 9| = 24
|-9x - 84| = 21
|-19x - 265| = 20
|-12x - 200| = 44
|-4x - 49| = 29
|4x + 35| = 37
|-8x - 155| = 27
|-11x + 19| = 47
|3x - 55| = 5
|8x - 168| = 32
|-12x - 184| = 32
|12x + 119| = 25
|3x + 14| = 20
|-12x - 117| = 27
|-4x + 34| = 30
|20x - 223| = 3
|-10x - 56| = 24
|20x + 40| = 20
|20x + 282| = 42
|-1x + 32| = 48
|-16x - 299| = 21
|20x - 359| = 21
|-7x - 101| = 31
|-5x - 17| = 33
|10x - 169| = 39
|-18x - 236| = 16
|13x + 179| = 3
|9x - 8| = 10
|20x + 287| = 7
|1x + 40| = 37
|-17x - 168| = 36
|8x + 116| = 44
|-12x - 158| = 2
|15x + 5| = 25
|-9x - 7| = 20
|-11x - 66| = 0
|8x + 74| = 30
|-2x - 21| = 19
|12x + 162| = 30
|9x + 35| = 10
|16x + 284| = 36
|9x - 181| = 10
|6x + 107| = 23
|-14x + 140| = 14
|3x + 58| = 37
|9x - 117| = 27
|-9x + 41| = 32
|20x - 197| = 43
|-19x - 93| = 17
|13x + 10| = 49
|11x + 216| = 18
|2x + 49| = 37
|-7x + 16| = 9
|-10x - 170| = 50
|-6x + 76| = 2
|-19x + 187| = 22
|-9x + 101| = 29
|3x + 3| = 24
|-9x + 165| = 48
|-1x + 20| = 7
|13x + 162| = 46
|6x - 68| = 20
|-17x - 88| = 48
|-17x + 138| = 32
|-14x + 227| = 39
|7x + 37| = 44
|-13x - 62| = 49
|-5x - 2| = 32
|-9x - 54| = 0
|10x + 76| = 44
|-6x + 62| = 20
|6x - 94| = 22
|-8x - 149| = 13
|2x + 13| = 5
|-2x - 6| = 20
|-14x + 241| = 45
|-19x + 161| = 9
|-18x - 172| = 26
|-16x + 186| = 42
|3x + 3| = 6
|11x - 170| = 50
|3x - 14| = 22
|12x - 134| = 46
|-14x + 99| = 1
|8x + 22| = 14
|-8x - 75| = 5
|-10x - 114| = 14
|-1x - 1| = 12
|-1x + 10| = 28
|-17x - 159| = 40
|-8x + 96| = 48
|7x - 13| = 36
|19x - 196| = 13
|17x + 229| = 43
|-17x - 155| = 15
|9x + 20| = 34
|1x + 25| = 7
|5x + 64| = 26
|12x + 122| = 2
|18x - 114| = 48
|-19x + 103| = 11
|9x + 11| = 34
|20x - 254| = 6
|-18x - 353| = 47
|-10x + 1| = 11
|-1x - 56| = 44
|10x - 172| = 8
|-10x + 5| = 35
|-11x + 208| = 1
|19x - 395| = 34
|15x - 163| = 47
|5x + 47| = 8
|-18x - 203| = 13
